COURSENAME,COMBINED_TITLE,RESOURCE_TYPE,SUBJECTS
destination management,european journal of marketing,journal,europe periodical journal riodiques market pe european marketing
destination management,journal of hospitality and tourism management,journal,industry hospitality periodical management australia tourism journal
destination management,the routledge handbook of tourism marketing,book,handbook marketing walk routledge geography budget hike tourism travel
health across the lifespan 1,potter & perrys fundamentals of nursing,book,handbook etc nursing nurse manual problem perry potter fundamental exercise
introduction to livestock science,sheep agskills: a practical guide to farm skills,book,handbook etc manual farming skill agskills australia guide practical farm sheep
"states, social forces and development",antipode,journal,human antipode periodical geografie geography
"states, social forces and development",development and change,journal,change development science social economic periodical
"states, social forces and development",development in practice,journal,development de assistance practice economic en voie veloppement condition conomiques periodical e pay country riodiques pe develop
"states, social forces and development","gender, poverty, and inequality: a brief history of feminist contributions in the field of international development",article,development contribution field brief economy feminist gender inequality history political poverty relation international
"states, social forces and development",ids bulletin,journal,development economic bulletin periodical id condition country develop
"states, social forces and development",asian studies review,journal,asia asian teach periodical association australia review study
"states, social forces and development",development policy review,journal,development assistance economic periodical technical review country policy develop
"states, social forces and development",third world quarterly,journal,world quarterly economic periodical condition politics government third country develop
"states, social forces and development",development effectiveness and the politics of commitment,article,development commitment effectiveness politics
"states, social forces and development","primitive accumulation, accumulation by dispossession, accumulation by extra-economic means",article,aspect industrial primitive economic dispossession economics accumulation capitalism mean extra relation
knowledge management techniques,the book of informatics,book,information informatics management textbooks resource book technology
ict in the classroom,a guide to authentic e-learning,book,continue learning authentic internet education instruction guide e assist computer
international political economy (oua),international organization,journal,world periodical politics organization international
international political economy (oua),australian journal of international affairs,journal,affair australian international journal
international political economy (oua),a bretton woods moment? the 2007-2008 crisis and the future of global finance,article,estate finance 2007 2008 bretton moment crisis economics state wood future manager global real agent united
"small, medium and large",the media & communications in australia,book,mass medium communication australia
"small, medium and large","the evolution of australian mobile screens: new technology, new formats, new business models",article,mobile evolution film format screen new television business australian technology model medium
introduction to radio,"abc all-media law handbook: for journalists, presenters, program makers, authors, editors and publishers",book,handbook etc medium legal abc journalists maker editor status program australia presenter obscenity author publisher journalist law press
teaching health,key findings from the second australian child and adolescent survey of mental health and wellbeing,article,survey wellbeing disorder adolescent second epidemiology prevalence health finding child australian key mental
world religions (oua),foreign policy,journal,1989 diplomatic periodical state relation 1945 foreign policy united
world religions (oua),phi kappa phi forum,journal,society kappa phi periodical honor forum
teaching humanities and social sciences in early childhood and primary,rethinking our classrooms: teaching for equity and justice,book,teach classroom discrimination education state sexism justice racism equity rethink united study
teaching second/foreign languages,exploring language pedagogy through second language acquisition research,book,teacher pedagogy explore train language second research languages acquisition
teaching humanities and social sciences in early childhood and primary,"teaching humanities and social sciences: history, geography, economics & citizenship in the australian curriculum",book,teacher science teach social planning citizenship education economics australia participation curriculum history geography humanity australian
teaching humanities and social sciences in early childhood and primary,rethinking schools online,journal,periodical education state online public urban school rethink united
commercial law,commercial law,book,australia law commercial
knowledge management,the work of leadership,article,leadership work
knowledge management,organizational change,book,change organizational organisationswandel organisationsentwicklung
knowledge management,knowledge management in theory and practice,book,knowledge information practice capital economics management business theory
introduction to public relations,critical communication,book,etc problem australia critical communication exercise
introduction to public relations,the new australian and new zealand public relations manual,book,manual new zealand australia public australian relation
gender in asian societies,love sex and power: women in southeast asia,book,asia southeast social condition politics government woman history sex power southeastern love
gender in asian societies,"power, change, and gender relations in rural java: a tale of two villages",book,change javanese indonesia java role tale two social village condition rural woman sex gender power case relation study
gender in asian societies,remapping china: fissures in historical terrain,book,dynasty 1949 historical 1644 dynastie 1912 chine remapping fissure mandchoue china history terrain publique qing
gender in asian societies,what do women want?,article,want periodical woman research market
global policy and administration,the american political science review,journal,science american periodical association review political
global policy and administration,global governance,journal,agency periodical relation global international diplomacy governance united nation
professional practice and organisational consulting,journal of management consulting,journal,vocational periodical management consulting consultant business guidance journal
professional practice and organisational consulting,sa journal of human resource management,journal,human periodical management personnel south sa resource africa journal
changing economies of asia,economic development in asia,book,asia development economic condition policy
integrated early childhood curriculum for educators,playing with the australian curriculum: meeting the standards through play-based pedagogies in pre-primary to year 2,book,play pedagogy pre program education meeting year australia primary curriculum standard base australian activity 2
entrepreneurship and innovation management,kim and mauborgne knowing a winning business idea when you see one,article,idea see win kim know one business mauborgne
entrepreneurship and innovation management,quality engineering,journal,engineering quality
entrepreneurship and innovation management,research technology management,journal,development industrial periodical management research technology
great books past and present 2,the journal of commonwealth literature,journal,commonwealth letterkunde periodical english history literature criticism journal
introduction to environmental biology,"the bushland plants of kings park, western australia",book,western w park plant australia identification work pictorial bushland king perth
safety and quality in health care,patient safety: an essential guide,book,patient essential guide safety medical prevention measure error care
safety and quality in health care,patterns of nurse-physician communication and agreement on the plan of care,article,sample report care nurse pattern plan work practitioner health communication physician agreement
japanese 7,a dictionary of intermediate japanese grammar =: nihongo bunp? jiten [ch?ky? hen],book,ch intermediate ky nihongo grammar dictionary hen japanese jiten [ ] bunp
animal behaviour and welfare,domestic animal behavior for veterinarians and animal scientists,book,behavior animal veterinarian scientist domestic
animal behaviour and welfare,farm animal behaviour and welfare,book,animal welfare treatment farm behavior behaviour domestic
water conservation and auditing,water audits and loss control programs,book,water program consumption measurement audit prevention leakage loss control
ecology,a student handbook for writing in biology,book,student authorship handbook style manual technical write biology
ecology,journal of the royal society of western australia,journal,western society science periodical australia history royal natural journal
ecology,marine biology: international journal on life in oceans and coastal waters,journal,biology water periodical ocean life international coastal riodiques biologie pe marine journal
sustainable urban communities (oua),landprints: reflections on place and landscape,book,human landscape place geographical assessment australia geography landprints perception reflection
sustainable urban communities (oua),nature and culture: rebuilding lost connections,book,human lose nature culture cultural ecology pluralism biodiversity connection rebuild
sustainable urban communities (oua),ecosystem health,journal,ethic periodical management ecosystem health policy environmental
sustainable urban communities (oua),transitions: pathways towards sustainable urban development in australia,book,city development transition planning towards australia sustainable sociology urban pathways
veterinary structure and function ii,schalms veterinary hematology,book,hematology diseases hematologic veterinary schalms
veterinary structure and function ii,cunninghams textbook of veterinary physiology,book,animal physiology population veterinary cunningham textbook group
veterinary structure and function ii,guyton and hall textbook of medical physiology,book,human hall pathological physiology medical guyton textbook
veterinary structure and function ii,principles of human physiology,book,human principle textbook physiology
veterinary structure and function ii,sisson and grossmans the anatomy of the domestic animals,book,anatomy grossmans animal sisson anatomie te rinaire veterinary domestic
veterinary structure and function ii,veterinary neuroanatomy and clinical neurology,book,anatomy neuroanatomy clinical veterinary neurology
advanced quantitative research methods,spss statistics version 22: a practical guide,book,handbook process data version method computer statistical statistic 22 file social research spss science etc manual program guide practical
foundations of communication,media analysis techniques,book,mass technique methodology analysis literacy criticism medium
introduction to psychological science,"stereotype dynamics: language-based approaches to the formation, maintenance, and transformation of stereotypes",book,transformation maintenance social stereotype language approach dynamic base formation psychology perception sociolinguistics
introduction to psychological science,the behavior of organisms: an experimental analysis,book,psychophysiology rat animal organism analysis behavior experimental
veterinary structure and function i,large animal internal medicine,book,differential animal internal large diagnosis veterinary medicine
contemporary fiction writing,text,journal,text tekstgrammatica analyse du discours riodiques p pe
contemporary fiction writing,fiction and the camera eye,book,picture fiction eye motion history literature perception visual criticism camera
global justice,the social studies,journal,science teach social enseignement periodical history e histoire pe riodiques tude study et
sports practicum,reflective practice,journal,philosophy practice profession periodical reflective reflection think
facilitating lifelong learning,adult education and lifelong learning: theory and practice,book,continue learn practice education lifelong theory adult
facilitating lifelong learning,australian journal of adult learning,journal,learn periodical education journal australia community australian adult
facilitating lifelong learning,journal of transformative education,journal,formal pedagogy self actualization periodical education transformative non critical psychology journal
facilitating lifelong learning,european journal of psychology of education,journal,onderwijspsychologie educational periodical education psychology european journal
"anthropology, society and culture",a materialist interpretation of culture,article,science humanism culture social post topic materialist interpretation
"anthropology, society and culture",environmental anthropology: a historical reader,book,human historical anthropology reader cross cultural ecology study environmental
"anthropology, society and culture",structure and function in primitive society: essays and addresses,book,society structure primitive social function kinship essay address
"anthropology, society and culture",routes: travel and translation in the late twentieth century,book,human century late kulturella twentieth ge travel geography translation sociale aspekter ographie route
ethics,understanding ethics,book,ethic social understand australia case study
veterinary structure and function iv,diagnostic cytology and hematology of the dog and cat,book,hematology diseases dog diagnosis cytodiagnosis cytology diagnostic cat veterinary
veterinary structure and function iv,canine and feline endocrinology and reproduction,book,disease diseases canine dog reproduction feline cat endocrinology
veterinary structure and function iv,bsava manual of canine and feline haematology and transfusion medicine,book,disease handbook etc hematology manual canine dog haematology transfusion treatment bsava feline veterinary medicine
information technology research methods,foundations of behavioral research,book,statistical foundation behavioral sociology psychology research method
oceanography and marine pollution,environmental oceanography,book,science coast earth geography oceanography environmental
physical chemistry ii,chemistry: the central science,book,textbooks chemistry science central
"audiences, users and participants",mcquails mass communication theory,book,philosophy mcquails mass informationstheorie communication theory medium
"audiences, users and participants",mediamaking: mass media in a popular culture,book,aspect popular culture social mass mediamaking dias medium
"audiences, users and participants",making the grade: a guide to successful communication and study,book,successful skill education grade guide communication make academic achievement study
"audiences, users and participants","media, culture & society",journal,society aspect conomique culture social mass periodical dias e riodiques pe medium
"audiences, users and participants",the basics of communication research,book,philosophy basic communication research semiotics methodology
"audiences, users and participants",research methods for media and communication,book,social mass statistic methodology communication research method medium
"audiences, users and participants",youtube: online video and participatory culture,book,aspect culture social video internet online youtube participatory network resource electronic
"audiences, users and participants","media international australia, incorporating culture & policy",journal,aspect medium culture social periodical incorporating australia communication policy international mass
advanced topics in health informatics and bioinformatics,journal of epidemiology and global health,journal,world periodical epidemiology global health journal
indigenous sustainability,social alternatives,journal,change social alternative periodical condition australia
indigenous sustainability,white out: how politics is killing black australia,book,century white black aboriginal social kill condition 21st government politics australia policy australian
organisation development and change,sloan management review,journal,industrial administration periodical management review organization sloan
nature-based tourism,"natural area tourism: ecology, impacts and management",book,aspect area ecology management impact tourism natural environmental
environmental monitoring,monitoring plant and animal populations,book,monitoring animal plant population environmental
environmental monitoring,biological reviews,journal,science biological periodical review technology biology
teaching secondary science (7-10),connecting with science education,book,science teach connect education literature study juvenile
strategic communication,public relations writing in australia,book,australia write public communication business relation
strategic communication,managing public relations,book,manage management relation public
advanced criminology,policing,journal,publication periodical riodiques police pe
effective leadership,real leadership: helping people and organizations face their toughest challenges,book,face tough leadership economics challenge executive organization real business help people
effective leadership,finding meaning in the organization,article,mean find symbolism social meaning organization life behavior
christology,the christian theology reader,book,popular theology reader theologie doctrinal work christian
christology,hervormde teologiese studies,journal,theologie reform periodical church doctrine african hervormde study teologiese journal
international and transnational crimes,international criminal law,book,crime criminal international jurisdiction law
international and transnational crimes,trends & issues in crime and criminal justice,journal,issue crime criminal justice trend
international and transnational crimes,foreign policy analysis,journal,world periodical analysis politics periodicals foreign policy relation international
international and transnational crimes,handbook of transnational crime and justice,book,handbook crime criminal administration cooperation organize justice transnational international
creative ways to work with community (oua),community development journal,journal,development commmunity periodical hulpverlening community journal
creative ways to work with community (oua),planning for country,book,aboriginal tenure planning plan australia central use land country australian
creative ways to work with community (oua),the fourth pillar of sustainability: cultures essential role in public planning,book,society role howe culture institute social planning essential sustainability public pillar commentary policy fourth art c methodology
forensic science (professional practice) masters dissertation,practical cold case homicide investigations procedural manual,book,procedural science manual criminal homicide investigation practical cold forensic case
literacy and learning,journal of adolescent & adult literacy,journal,study education 740200 adolescent c5 curriculum literacy adult secondary 330200 journal
literacy and learning,interviewing: a practical guide for students and professionals,book,student guidebook guide practical research professional interview
britain in the reformation era,the english reformation revised,book,16th century reformation church english history revise england
britain in the reformation era,the historical journal,journal,grande historical periodical bretagne history histoire riodiques pe journal
britain in the reformation era,reginald pole and the priorities of government in mary tudors church,article,mary reginald tudor church pole priority government
asian centuries,a history of asia,book,asie asia history histoire
asian centuries,a history of modern indonesia,book,indonesia 20th century politics government history modern
asian centuries,the invention of tradition,book,rite tradition manner origin invention folklore custom ceremony
asian centuries,sojourn,journal,asia southeast social periodical condition sojourn southeastern
asian centuries,journal of southeast asian studies,journal,study asia asian southeast sud est du periodical asie riodiques pe journal
practical methods of instruction for secondary school science and mathematics,learning disabilities research and practice,journal,learn practice research leren disability
practical methods of instruction for secondary school science and mathematics,discovery learning for the 21st century: what is it and how does it compare to traditional learning in effectiveness in the 21st century,article,survey century learning learn traditional discovery effectiveness 21st compare attitude art
cultural competency within and across organisations,managing diversity in australia: theory and practice,book,practice management personnel australia manage multiculturalism workplace theory diversity
mentoring,issues in educational research,journal,issue educational periodical education australia research
mentoring,journal of the american dietetic association,journal,disease dietetics diet american periodical association dietetic journal
mentoring,the dark side of mentoring on pre-service language teachers identity formation,article,teacher service dark pre mentor language identity formation side
introduction to information systems,experiencing mis,book,information management system processing data business experience resource mi
fourth year project,publication manual of the american psychological association,book,handbooks handbook etc science authorship publication social manual american publishing psychological association publish literature psychology
"introduction to literature, writing and performance",literature compass,journal,compass litte periodical english history literature rature riodiques criticism pe
"introduction to literature, writing and performance","this thing called literature : reading, thinking, writing",book,authorship philosophy appreciation thing write literature read call think
teaching drama,the 10 commandments of theater : the gospel according to stanislavski,book,encyclopedia soviet 10 gospel stanislavski russia union theater history commandment accord encyclopedias federation
digital business,communicating design: developing web site documentation for design and planning,book,development design web communicate process planning documentation data develop sit site electronic
"sustainability, ecology and communities (oua)",ecology and society,journal,society periodical ecological ecology assessment management ecosystem apply biology
professional writing and editing,the australian editing handbook,book,handbooks handbook etc editing manual australia publish publisher australian edit
health policy and governance,public policy in australia: theory and practice,book,practice planning australia textbooks public policy political theory
wellbeing (oua),international journal of wellbeing,journal,wellbeing periodical well psychology international journal
wellbeing (oua),well-being as being wella heideggerian look at well-being,article,well wella look heideggerian
wellbeing (oua),reclaiming children and youth,journal,social periodical state problem work youth reclaim child united
wellbeing (oua),exercise a mechanism for achieving optimal health and wellbeing,article,wellbeing aboriginal achieve strait midwifery exercise optimal indigenous islander health torres mechanism
wellbeing (oua),developing an exploratory framework linking australian aboriginal peoples connection to country and concepts of wellbeing,article,wellbeing aboriginal link exploratory framework country health connection australian concept people develop
wellbeing (oua),international journal for equity in health,journal,service journal general factor health equity socioeconomic accessibility international medicine
wellbeing (oua),mindfully green: examining the effect of connectedness to nature on the relationship between mindfulness and engagement in pro-environmental behavior,article,nature examine pro humanities green art mindfully relationship connectedness miscellaneous behavior business accounting management effect engagement international environmental mindfulness
systemic pathology and medicine,the compendium on continuing education for the practicing veterinarian,journal,continue compendium teach practice periodical education veterinarian veterinary study medicine
systemic pathology and medicine,veterinary medicine & small animal clinician,journal,small clinician animal periodical veterinary domestic medicine
indigenous tourism issues,tourism and indigenous peoples: issues and implications,book,aspect issue social cultural indigenous identity implication ethnic relation people tourism
indigenous tourism issues,a guide to learning independently,book,handbooks student etc learn manual skill guide independently college orientation study
making of the modern world,postwar: a history of europe since 1945,book,europe postwar since europa history 1945
law moot,shipping law,book,maritime australia ship case law
management accounting,managerial accounting: creating value in a dynamic business environment,book,managerial administrativa contabilidad value dynamic environment create business accounting
environmental management,journal of business ethics,journal,de ethic periodical affaires morale business riodiques pe journal
learning and teaching,psychology applied to teaching,book,onderwijspsychologie teach psicopedagogi educational psychology apply
community development theory and practice,community development practice stories: method and meaning,book,story development elsewhere social practice classify work community mean method
community development theory and practice,transforming social work practice: postmodern critical perspectives,book,social service practice australia work transform critical postmodernism perspective postmodern
community development theory and practice,values education and quality teaching: the double helix effect,book,helix teach effect education australia value moral conduct life quality double study
mineral processing i,magnetic separation of hematite and limonite fines as hydrophobic flocs from iron ores,article,magnetic fine hydrophobic ore separation flocs hematite iron limonite
comparative corporate governance and international operations,international corporate governance,book,finance class dual corporate governance stock international
learners and learning environments,early child development and care,journal,development de early service periodical veloppement enfants child riodiques pe care
learners and learning environments,student motivation and engagement- schooling issues digest,book,student teacher issue engagement relationship digest school motivation
screen text,"film and television analysis: an introduction to methods, theories, and approaches",book,film picture introduction theory evaluation analysis approach motion television method criticism
screen text,the routledge encyclopedia of film theory,book,encyclopedia philosophy film picture motion routledge encyclopedias theory criticism
screen text,doing film studies: a subject guide for students,book,student teach film picture subject video motion guide art study
sound design,"the foley grail: the art of performing sound for film, games, and animation",book,game perform film picture cinematography video animation sound effect foley motion grail digital art
photography 1,complete digital photography,book,handbooks photography etc technique manual processing complete image digital camera
teaching mathematics in secondary schools,teaching mathematics : a handbook for primary and secondary school teachers,book,study handbook teacher etc teach vocational guidance manual mathematics primary britain school secondary great train
teaching mathematics in secondary schools,male order mathematics,article,development science engineering mathematics male life research order physical miscellanea
teaching mathematics in secondary schools,problem posing : reflections and applications,book,reflection application teach mathematics solve problem essay pose study
community and social policy,the tenants revolt,article,news revolt interest general opinion commentary tenant
practical methods of instruction,doing with understanding: lessons from research on problem- and project-based learning,article,learning industry game teach project engineering manufacturing understand education problem mechatronics simulation lesson base research study
practical methods of instruction,engineering educationis problem-based or project-based learning the answer.,article,engineering learn problem base project educationis answer
practical methods of instruction,teaching large classes in higher education : how to maintain quality with reduced resources,book,class maintain size teach reduce high education large britain college quality resource great
practical methods of instruction,the professional fe teacher : staff development and training in the corporate college,book,teacher development teach service education corporate britain fe college staff professional great train adult
teaching mathematics in primary schools,"choosing, creating and using story problems: some helpful hints",article,story teacher classroom teach hint mathematics problem primary environment choose create use helpful study
japanese 1,a dictionary of basic japanese grammar =: nihongo kihon bunp? jiten,book,basic dictionary grammar nihongo reform script public japanese kihon jiten policy sociolinguistics bunp
knowledge management,knowledge management: an integrated approach,book,behavior organizational industrial knowledge economics management approach business integrate
introduction to chiropractic,journal of chiropractic humanities,journal,therapeutic manipulation periodical chiropractic humanity journal
introduction to chiropractic,chiropractic & manual therapies,journal,manual manipulation periodical chiropractic therapy osteopathic medicine
family law,family law,book,family australia case relation domestic law
physical examination,bates guide to physical examination and history taking,book,bat take examination history diagnosis guide medical method physical
storytelling in australia,being australian: narratives of national identity,book,social national characteristic narrative manner australia identity life australian custom
forensic anatomy and anthropology,journal of forensic sciences,journal,science jurisprudence gerechtelijke periodical journal medicine medical forensic chemie
forensic anatomy and anthropology,"forensic science, medicine, and pathology",journal,science legal pathology forensic medicine
communication project,aslib journal of information management,journal,science information libraries periodical management britain library great aslib journal
communication project,journal of public relations research,journal,periodical public research relation journal
introduction to health education,health education,journal,service periodical education periodicals health school
introduction to health education,advocating for a harm-minimization approach to drug education in australian schools,article,digit advocate four education approach harm minimization drug australian school 1110
introduction to health education,educational technology research and development,journal,development educational periodical education system research instructional technology
transforming business,"the economics of money, banking, and financial markets",book,finance financial economics bank money market
the creeds (100-500 ce),the apostolic fathers in english,book,early father apostolic english vaders literature christian greek author apostolische
the creeds (100-500 ce),encyclopedia of early christianity,book,encyclopedia primitive early christianity 600 church ca history 30 encyclopedias
the creeds (100-500 ce),the early church,book,primitive early 600 church ca history approximately 30
the creeds (100-500 ce),the gnostic scriptures: a new translation with annotations and introductions,book,primitive early gnostic 600 new church gnosticism translation ca history annotation source 30 introduction scripture heresy
effective leadership,organization development: a jossey-bass reader,book,change organizational development reader bass organization jossey changement organisationnel organisationsentwicklung
principles of counselling 1,the processes of therapy,article,process therapy
principles of counselling 1,skills in person-centred counselling & psychotherapy,book,nondirective counsel skill centre client psychotherapy person therapy center
equine nutrition and health,equine infectious diseases,book,disease infection diseases equine horse veterinary infectious
work and well-being,whs: a management guide,book,industrial hygiene education whs management australia guide safety
work and well-being,australian psychologist,journal,psychologist periodical australia psychology australian
work and well-being,20 years of workplace bullying research: a review of the antecedents and consequences of bullying in the workplace,article,legal consequence year check bully 20 review workplace research remedy library antecedent
work and well-being,workplace violence,article,employee violence safety workplace prevention measure
work and well-being,a critical review of executive coaching research: a decade of progress and whats to come,article,aspect nutrition usage coach decade review executive critical prevention health research progress come whats
work and well-being,accident analysis & prevention,journal,accident trauma periodical analysis prevention
work and well-being,individual differences in the experience of cognitive workload,article,individual workload difference experience cognitive
work and well-being,journal of financial service professionals,journal,finance financial personal service periodical state life insurance professional united journal
sustainability in practice,the earth only endures: on reconnecting with nature and our place in it,book,human nature being animal plant ecology effect relationship earth place reconnecting endures
sustainability in practice,take back the economy: an ethical guide for transforming our communities,book,development gemeindeentwicklung ethical take economics general australia transform community back economy guide business
sustainability in practice,energy policy,journal,energy fuel periodical policy
spirituality,spirituality: a guide for the perplexed,book,christianity religion general perplex guide devotional spirituality
spirituality,social work,journal,social service welfare periodical public work
international marketing,international marketing,book,export enterprise internationale business market international marketing
international marketing,"journal of business ethics, suppl. supplement 2",journal,supplement aspect anemia ethic screen physiological anaemia suppl business 2 journal
anthropology and its others,daedalus,journal,science social periodical daedalus humanity
anthropology and its others,cultural anthropology : a contemporary perspective,book,anthropology culture cultural ethnology perspective contemporary
anthropology and its others,anthropology,book,anthropologie anthropology kulturanthropologie
anthropology and its others,the interpretation of cultures: selected essays /by clifford geertz,book,culture essay interpretation select ethnology geertz clifford
comparative law,the civil law tradition: an introduction to the legal systems of europe and latin america,book,civil legal europe lateinamerika europa tradition america system introduction latin law
manager as a performance coach,journal of management education,journal,organizational teach periodical management education executive behavior study train journal
manager as a performance coach,"leadership: current theories, research, and future directions",article,direction future leadership current research theory
manager as a performance coach,annual review of psychology,journal,annual periodical review yearbook psychology
mathematics and numeracy in the early years,belonging being & becoming: the early years learning framework for australia,book,play belong development childhood early learn year education australia government framework policy child become
mathematics and numeracy in the early years,australian primary mathematics classroom,journal,teach classroom mathematics periodical australia primary australian australie elementary study
group counselling,the theory and practice of group psychotherapy,book,psychothe de practice psychotherapy rapie groupe theory group
introduction to the screen,the classical hollywood cinema: film style & mode of production to 1960,book,industry style film picture 1960 state motion classical history hollywood production aesthetic mode cinema united
asia-pacific perspectives,de-westernizing media studies,book,aspect de social mass westernize develop country case criticism study medium
physics of materials,"the solid state: an introduction to the physics of crystals for students of physics materials science, and engineering",book,crystal student science engineering solid state physic material introduction
physics of materials,perspectives of modern physics,book,modern physic nuclear perspective
infectious and parasitic diseases,kirks current veterinary therapy xiv,book,pet therapy current veterinary kirk xiv medicine
mineralogy for metallurgists,introduction to mineralogy,book,science mineralogy optic geology earth introduction
international financial markets and institutions,fundamentals of financial markets and institutions in australia,book,finance financial australia fundamental institution market
principles of wildlife epidemiology and disease risk analysis,journal of applied ecology,journal,economic periodical ecology agriculture apply biology journal
paul,matthew and the margins: a socio-political and religious reading,book,social reading socio bible margin commentary religious political matthew criticism kommentar scientific
nursing management of chronic illness,nursing ethics,journal,periodical ethic nursing nurse
the second world war in europe,ordinary men: reserve police battalion 101 and the final solution in poland,book,world atrocity personal narrative war arbeiter police ordinary battalion nationalsozialistische 101 german reservepolizeibataillon 1945 men final partei reserve 1939 poland solution deutsche
the second world war in europe,the second world war and an epilogue on the years 1945 to 1957,book,world europe 1957 1965 year epilogue 1939 second britain 1945 churchill 1874 war great winston
the second world war in europe,"thunder in the east: the nazi-soviet war, 1941-1945",book,east world eastern 1941 thunder front campaign 1939 union 1945 war military nazi soviet
the second world war in europe,why the allies won,book,world 1939 ally 1945 war 2
professional issues in nursing practice,nursing and health sciences,journal,science nursing nurse periodical medical health care
international political economy,global political economy : theory and practice,book,finance practice economic trade global economy political theory relation international
international political economy,international affairs (royal institute of international affairs 1944-),journal,affair institute 1944 royal international
international political economy,crisis without end?: the unravelling of western prosperity,book,western unravel financial 2008 2009 end prosperity crisis without history global
gis for environmental management and planning,remote sensing of environment,journal,science de terre sense la earth periodical tection environment te riodiques le pe remote
gis for environmental management and planning,progress in physical geography,journal,physique periodical geografie ge geography progress pe riodiques fysische ographie physical
"corruption, anti-corruption and its discontents",progress in development studies,journal,development periodical economics country progress study develop
"corruption, anti-corruption and its discontents",international studies quarterly,journal,world quarterly periodical politics relation study international
water and earth science,soils and the environment: an introduction,book,aspect ecology environment soil introduction environmental
water and earth science,groundwater hydrology,book,souterraine groundwater hydrogeologie hydrology eau
pre-clinical practicum,diagnosis for physical therapists: a symptom-based approach,book,therapist approach diagnosis therapy symptom base physical
teaching health and physical education in primary schools,the achper active & healthy magazine,journal,achper active periodical education australia training magazine health healthy physical
teaching health and physical education in primary schools,teaching health and physical education in australian schools,book,physical teach hygiene education australia training health child australian school study
acquisition of human resources,international journal of selection and assessment,journal,selection success interview occupational periodical journal assessment prediction international personality occupation employment
acquisition of human resources,canadian psychology/psychologie canadienne,journal,psychologie periodical canadienne psychology riodiques canada pe canadian
human resource management law,employment law: concepts and cases,book,legislation state australia case concept australian labor law employment
human resource management law,common law world review,journal,world common online periodical review publikation britain zeitschrift great law
policing and crime prevention,criminology & public policy,journal,aspect criminology crime criminal criminolgy periodical public prediction behavior sociological policy
reading and writing in the online world,bodies of information: intersectional feminism and the digital humanities,book,intersectional information feminism digital body humanity
reading and writing in the online world,disrupting the digital humanities,book,human aspect social interaction digital humanity humanities computer disrupt
complexities of health and illness across the lifespan 1,acute coronary syndrome: assessment and management,article,disease syndrome coronary acute heart management assessment diagnosis pneumothorax aorta
media audiences,the televiewing audience: the art & science of watching tv,book,aspect science viewer attitudes social audience state television literacy televiewing tv visual art watch united
media audiences,measuring user influence in twitter: the million follower fallacy,article,million check fallacy follower measure influence library twitter user
media audiences,uses and gratifications theory in the 21st century,article,encyclopedia century information us linguistics 21st communication encyclopedias theory gratification
integrated early childhood curriculum,international journal of early years education,journal,childhood early year periodical education preschool psychology child international journal
"music, drama and writing",the arts in psychotherapy,journal,periodical art therapy psychotherapy
"music, drama and writing",american journal of dance therapy,journal,perform dance american periodical journal therapy visual arts
"music, drama and writing",behavior therapy,journal,periodical therapy behavior
environmental policy for the 21st century,environmental science & policy,journal,science periodical environmental policy
environmental policy for the 21st century,the australian policy handbook: a practical guide to the policy-making process,book,handbook administration planning process australia government politics public guide practical policy political australian making
the silk roads,the silk roads: a new history of the world,book,silk world road new roads history imperialism
applied and professional ethics,ethics and criminal justice: an introduction,book,aspect ethic criminal administration moral justice ethical case introduction law
"culture, communities and sustainability in asia",sacred ecology,book,human knowledge traditional ecology ecological indigenous sacred people
"culture, communities and sustainability in asia",the food wars,book,food welt nder nahrungsmittelpreis war entwicklungsla
"culture, communities and sustainability in asia",contemporary china: society and social change,book,change society social condition china 2000 contemporary
